Aula 201;50
Aula 202;50
Aula 205;50
Aula 206;50
Aula 207;50
Aula 208;50
Aula 209;50
Aula 210;50
Auditorium No. 1;100
Auditorium No. 2;100
Aula No. 6;50
Aula de farmacología;50
Aula tecnología;50
